"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 26 08:07:39 UTC 2026","Tue May 26 08:07:39 UTC 2026","0","tests","test_cross_browser","","","","TC_XB_004: Headless vs Headed",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_008: ARIA-атрибуты для скринридеров",""
"passed","Tue May 26 08:07:03 UTC 2026","Tue May 26 08:07:03 UTC 2026","393","tests","test_auth","","","","test_sql_injection",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_performance","","","","TC_PERF_002: Клик Login -> переход < 1 сек",""
"broken","Tue May 26 08:07:38 UTC 2026","Tue May 26 08:07:38 UTC 2026","0","tests","test_cross_browser","","","","TC_XB_001_002_003: Chromium, Firefox, WebKit",""
"passed","Tue May 26 08:07:13 UTC 2026","Tue May 26 08:07:13 UTC 2026","541","tests","test_cart","","","","TC_CART_007: Возврат к покупкам из корзины",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_009: Индикатор загрузки (лоадер) – на SauceDemo нет",""
"passed","Tue May 26 08:07:23 UTC 2026","Tue May 26 08:07:23 UTC 2026","212","tests","test_checkout","","","","TC_CHECK_002: Чекаут с пустым First name",""
"broken","Tue May 26 08:07:34 UTC 2026","Tue May 26 08:07:34 UTC 2026","125","tests","test_checkout","","","","TC_CHECK_008: Расчёт итоговой суммы",""
"broken","Tue May 26 08:07:37 UTC 2026","Tue May 26 08:07:37 UTC 2026","127","tests","test_checkout","","","","TC_CHECK_010: Чекаут с несколькими товарами",""
"passed","Tue May 26 08:06:54 UTC 2026","Tue May 26 08:06:55 UTC 2026","407","tests","test_auth","","","","test_valid_login_other_users[problem_user]",""
"passed","Tue May 26 08:07:12 UTC 2026","Tue May 26 08:07:12 UTC 2026","468","tests","test_cart","","","","TC_CART_006: Переход в корзину с любой страницы",""
"passed","Tue May 26 08:07:19 UTC 2026","Tue May 26 08:07:20 UTC 2026","1455","tests","test_cart","","","","TC_CART_010: Корзина при смене пользователя",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_003: Адаптивность – мобильная вёрстка",""
"passed","Tue May 26 08:07:10 UTC 2026","Tue May 26 08:07:11 UTC 2026","532","tests","test_cart","","","","TC_CART_004: Удаление товара из корзины",""
"passed","Tue May 26 08:06:59 UTC 2026","Tue May 26 08:07:00 UTC 2026","456","tests","test_auth","","","","test_invalid_password",""
"passed","Tue May 26 08:07:00 UTC 2026","Tue May 26 08:07:01 UTC 2026","467","tests","test_auth","","","","test_nonexistent_username",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_e2e","TestCheckOut","","","test_check001",""
"broken","Tue May 26 08:07:38 UTC 2026","Tue May 26 08:07:38 UTC 2026","0","tests","test_cross_browser","","","","TC_XB_001_002_003: Chromium, Firefox, WebKit",""
"passed","Tue May 26 08:07:38 UTC 2026","Tue May 26 08:07:39 UTC 2026","395","tests","test_cross_browser","","","","TC_XB_004: Headless vs Headed",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_001: Логотип кликабелен → возврат на главную",""
"passed","Tue May 26 08:07:24 UTC 2026","Tue May 26 08:07:24 UTC 2026","217","tests","test_checkout","","","","TC_CHECK_003: Чекаут с пустым Last name",""
